content_id,title,artist,status,quality_score,expected_duration_sec,actual_duration_sec,duration_delta_sec,file_size_bytes,file_ext,sha256,resolved_file,warnings,errors
-43391401_167931131,PAGE 58,EXERCICES AUDIO DE GRAMMAIRE,ok,100,299,298.916589,0.08341100000001234,5002680,.ts,4c8ecef61dee63805c373a952d555b0470a8855dd1b4b1b8ef48ba5efee06e0a,C:\Users\HP Pro Book\Desktop\vk\downloads\0025_EXERCICES AUDIO DE GRAMMAIRE_PAGE 58.ts,,
-43391401_167930979,PAGE 57,EXERCICES AUDIO DE GRAMMAIRE,ok,100,277,277.418,0.41800000000000637,4644352,.ts,1cc2e12e7d81fbd1db7bdd77b726081b0285c72623aa714dadc443d8fad5ffa5,C:\Users\HP Pro Book\Desktop\vk\downloads\0026_EXERCICES AUDIO DE GRAMMAIRE_PAGE 57.ts,,
-43391401_167930857,PAGE 56,EXERCICES AUDIO DE GRAMMAIRE,ok,100,256,256.441856,0.44185599999997294,4292040,.ts,9186c5fb5ad3c11bb76fe16e2394ab4a8ab7080015341f5c5a38a3287a23a0c3,C:\Users\HP Pro Book\Desktop\vk\downloads\0027_EXERCICES AUDIO DE GRAMMAIRE_PAGE 56.ts,,
-43391401_167930729,PAGE 55,EXERCICES AUDIO DE GRAMMAIRE,ok,100,243,243.380744,0.38074399999999287,4078096,.ts,b02ed849ba11ebd522349c141a4414981d7a52d27df1f37c0aef5201cde5e60a,C:\Users\HP Pro Book\Desktop\vk\downloads\0028_EXERCICES AUDIO DE GRAMMAIRE_PAGE 55.ts,,
-43391401_167930614,PAGE 54,EXERCICES AUDIO DE GRAMMAIRE,ok,100,296,296.434978,0.434978000000001,4957560,.ts,4b6452dde08f0212a671b13c0a32eadb727ce8626f82eb171ae3c0e9fb4b249d,C:\Users\HP Pro Book\Desktop\vk\downloads\0029_EXERCICES AUDIO DE GRAMMAIRE_PAGE 54.ts,,
-43391401_167930442,PAGE 53,EXERCICES AUDIO DE GRAMMAIRE,ok,100,342,342.880289,0.8802890000000048,5734376,.ts,cada81e1f17782bf3dbfa72c27de9886500838b01e4647becb59e57cff6dd2f2,C:\Users\HP Pro Book\Desktop\vk\downloads\0030_EXERCICES AUDIO DE GRAMMAIRE_PAGE 53.ts,,
-43391401_167930305,PAGE 52,EXERCICES AUDIO DE GRAMMAIRE,ok,100,311,311.481378,0.4813780000000065,5213616,.ts,04445d8e9d76c17d1a258e79961251eba7cdd9972b72d8022142ba559464cc6f,C:\Users\HP Pro Book\Desktop\vk\downloads\0031_EXERCICES AUDIO DE GRAMMAIRE_PAGE 52.ts,,
-43391401_167930151,PAGE 51,EXERCICES AUDIO DE GRAMMAIRE,ok,100,287,287.501178,0.5011779999999817,4816184,.ts,a7d9ce00a5f3af96191db2cf669d778eff909b8f8dd9fafc05a081430d48ced5,C:\Users\HP Pro Book\Desktop\vk\downloads\0032_EXERCICES AUDIO DE GRAMMAIRE_PAGE 51.ts,,
-43391401_167930036,PAGE 50,EXERCICES AUDIO DE GRAMMAIRE,ok,100,305,305.8651,0.865099999999984,5116984,.ts,55178e84a75ef8bd035ee6f288fab0ce5542a785fe3b949c5fe2532d5dfc7dda,C:\Users\HP Pro Book\Desktop\vk\downloads\0033_EXERCICES AUDIO DE GRAMMAIRE_PAGE 50.ts,,
-43391401_167929913,PAGE 49,EXERCICES AUDIO DE GRAMMAIRE,ok,100,372,372.476767,0.4767669999999953,6231448,.ts,613234225d879f3fcad792178fa354419999cb412e274a8463fc6078b3ab4379,C:\Users\HP Pro Book\Desktop\vk\downloads\0034_EXERCICES AUDIO DE GRAMMAIRE_PAGE 49.ts,,
